Gemeindekennziffer;Politische Gemeinde;Ortschaftskennziffer;Ortschaftsname;Straßenkennziffer;Straßenname;Postleitzahl;Gemeindecode
50101;Salzburg;13582;Salzburg;001256;Alberto-Susat-Straße;5026;50101
50101;Salzburg;13582;Salzburg;001257;Baldehofstraße;5020;50101
50101;Salzburg;13582;Salzburg;001258;Bliemhofweg;5020;50101
50101;Salzburg;13582;Salzburg;001259;Erich-Schenk-Straße;5020;50101
50101;Salzburg;13582;Salzburg;001260;Kneisslweg;5020;50101
50101;Salzburg;13582;Salzburg;001261;Reithofferstraße;5020;50101
50101;Salzburg;13582;Salzburg;001262;Störweg;5020;50101
50101;Salzburg;13582;Salzburg;001263;Wildmoosweg;5020;50101
50101;Salzburg;13582;Salzburg;030915;Abfalterhofweg;5026;50101
50101;Salzburg;13582;Salzburg;030916;Abtsdorferstraße;5020;50101
50101;Salzburg;13582;Salzburg;030917;Adam-Müller-Guttenbrunn-Str.;5020;50101
50101;Salzburg;13582;Salzburg;030918;Adolf-Bekk-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030919;Adolf-Schemel-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030920;Aglassingerstraße;5023;50101
50101;Salzburg;13582;Salzburg;030921;Agnes-Muthspiel-Weg;5026;50101
50101;Salzburg;13582;Salzburg;030922;Aicherweg;5020;50101
50101;Salzburg;13582;Salzburg;030923;Aiglhofstraße;5020;50101
50101;Salzburg;13582;Salzburg;030924;Aigner Straße;5020;50101
50101;Salzburg;13582;Salzburg;030924;Aigner Straße;5026;50101
50101;Salzburg;13582;Salzburg;030924;Aigner Straße;5061;50101
50101;Salzburg;13582;Salzburg;030925;Ainringweg;5020;50101
50101;Salzburg;13582;Salzburg;030926;Akademiestraße;5020;50101
50101;Salzburg;13582;Salzburg;030927;Albert-Schweiger-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030928;Albert-Schweitzer-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030929;Albrecht-Dürer-Straße;5023;50101
50101;Salzburg;13582;Salzburg;030930;Alexander-Girardi-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030931;Alexander-Haidenthaller-Str.;5023;50101
50101;Salzburg;13582;Salzburg;030932;Alexander-Moissi-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030933;Alfred-Kubin-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030933;Alfred-Kubin-Straße;5026;50101
50101;Salzburg;13582;Salzburg;030934;Almgasse;5020;50101
50101;Salzburg;13582;Salzburg;030935;Alois-Lidauer-Straße;5026;50101
50101;Salzburg;13582;Salzburg;030936;Alois-Stockinger-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030937;Aloisia-Lange-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030938;Alpenstraße;5020;50101
50101;Salzburg;13582;Salzburg;030938;Alpenstraße;5081;50101
50101;Salzburg;13582;Salzburg;030939;Altenbuchgasse;5020;50101
50101;Salzburg;13582;Salzburg;030940;Alter Markt;5020;50101
50101;Salzburg;13582;Salzburg;030941;Alterbachstraße;5020;50101
50101;Salzburg;13582;Salzburg;030942;Altgasse;5020;50101
50101;Salzburg;13582;Salzburg;030943;Althofenstraße;5020;50101
50101;Salzburg;13582;Salzburg;030944;Am Abtswald;5023;50101
50101;Salzburg;13582;Salzburg;030945;Am Birkenhain;5020;50101
50101;Salzburg;13582;Salzburg;030946;Am Eichetwald;5020;50101
50101;Salzburg;13582;Salzburg;030947;Am Grafenhügel;5020;50101
50101;Salzburg;13582;Salzburg;030948;Am Rainberg;5020;50101
50101;Salzburg;13582;Salzburg;030949;Ampfinggasse;5020;50101
50101;Salzburg;13582;Salzburg;030950;Amselstraße;5023;50101
50101;Salzburg;13582;Salzburg;030951;Andrä-Blüml-Straße;5023;50101
50101;Salzburg;13582;Salzburg;030952;Andreas-Hofer-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030953;Andreas-Rohracher-Straße;5020;50101
50101;Salzburg;13582;Salzburg;030954;Angerweg;5020;50101
50101;Salzburg;13582;Salzburg;030955;Anglerweg;5020;50101
50101;Salzburg;13582;Salzburg;030956;Anton-Adlgasser-Weg;5020;50101
